gene,A_Wt,B_Wt,C_Wt,D_Hom,E_Hom,F_Hom
Acat1,1154,1197,1039,1766,1812,1760
Ackr2,348,454,513,657,708,643
Adcy8,435,504,523,668,867,792
Aebp2,864,832,846,1463,1520,1527
Aff2,20,32,19,44,75,47
Agbl2,146,153,113,141,170,191
Arl4d,698,705,856,891,789,733
Arl5b,530,636,520,1001,1330,1116
Axl,1955,2351,1975,3539,3696,2949
Cd276,175,196,226,336,327,376
Ces2e,50,60,82,95,123,99
Cfdp1,1104,1104,937,1599,1293,1440
Ctps,440,489,391,1013,862,725
Cxcl5,11,3,14,8,5,18
Ect2l,67,59,53,50,60,82
Edem2,1036,1229,974,1554,1456,1531
Eif3f,3181,3248,3423,5420,4775,4858
Eri3,794,733,854,1156,1063,1089
Evc,353,434,268,389,444,433
Foxj2,993,1102,912,1392,1382,1402
Fpgt,187,168,138,255,293,284
Furin,2083,2390,2305,3858,3572,3310
Grin1,4,5,2,7,4,9
Hecw2,528,461,590,774,1063,753
Helq,99,115,98,137,148,171
Htra3,455,651,466,1033,757,811
Ippk,206,215,184,364,347,342
Itpka,166,157,133,163,171,169
Mark4,292,372,414,634,677,585
Mpc2,602,507,532,817,729,832
Nemf,1038,896,803,1193,1223,1240
Nop10,672,609,628,814,727,900
Nov,143,131,119,173,230,237
Nsun2,673,718,609,1084,1030,1008
Nudt6,51,56,52,84,90,86
Ofd1,224,222,194,333,352,330
Pcgf1,135,98,122,165,141,193
Phkg2,507,561,525,762,711,741
Rab43,697,1017,888,2117,2062,1464
Rbpj,689,750,590,1381,1245,1032
Sbk2,39,65,36,36,40,43
Sox9,20,31,34,36,35,42
Sys1,433,378,389,530,555,524
Tab1,501,574,520,737,680,742
Taco1,80,85,81,177,180,136
Usp19,1388,1564,1416,1987,2049,1926
Wdr1,2713,3500,3024,6207,5378,4978
Wibg,444,515,553,804,624,671
Wnt3a,355,391,335,482,394,419
Xlr4c,3,4,3,6,5,15
